instance,date,n_customers,gurobi_vehicles,gurobi_distance_km,gurobi_mip_gap_pct,gurobi_status,drlls_vehicles,drlls_distance_km
2018-08-11_500cust,2018-08-11,500,,,,no incumbent (time limit),1,164.39
2018-08-11_862cust,2018-08-11,862,2,145.95,55,incumbent,2,650.06
2018-08-12_100cust,2018-08-12,100,1,123.71,17,incumbent,1,91.18
2018-08-12_500cust,2018-08-12,500,,,,no incumbent (time limit),1,169.06
2018-08-12_1000cust,2018-08-12,1000,,,,no incumbent (time limit),2,589.71
2018-08-12_1500cust,2018-08-12,1500,,,,no incumbent (time limit),4,1088.32
2018-08-13_100cust,2018-08-13,100,,,,no incumbent (time limit),1,43.38
2018-08-13_500cust,2018-08-13,500,,,,no incumbent (time limit),2,243.96
2018-08-14_100cust,2018-08-14,100,,,,no incumbent (time limit),1,68.3
2018-08-14_500cust,2018-08-14,500,,,,no incumbent (time limit),2,373.09
2018-08-14_1000cust,2018-08-14,1000,,,,no incumbent (time limit),3,639.02
2018-08-14_1440cust,2018-08-14,1440,,,,no incumbent (time limit),4,761.89
2018-08-15_100cust,2018-08-15,100,,,,no incumbent (time limit),1,28.48
2018-08-15_500cust,2018-08-15,500,,,,no incumbent (time limit),1,108.52
2018-08-15_1000cust,2018-08-15,1000,,,,no incumbent (time limit),2,343.52
2018-08-15_1500cust,2018-08-15,1500,,,,no incumbent (time limit),3,1287.09
2018-08-16_100cust,2018-08-16,100,,,,no incumbent (time limit),1,58.18
2018-08-16_490cust,2018-08-16,490,,,,no incumbent (time limit),1,148.48
2018-08-17_100cust,2018-08-17,100,,,,no incumbent (time limit),1,88.78
2018-08-17_298cust,2018-08-17,298,,,,no incumbent (time limit),1,118.43
